web-scraper-order,web-scraper-start-url,url,url-href,content
"1520026652-8130","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/3360to4180url.html","http://www.nytimes.com/2013/05/23/movies/the-hangover-part-iii-with-bradley-cooper-and-ed-helms.html","http://www.nytimes.com/2013/05/23/movies/the-hangover-part-iii-with-bradley-cooper-and-ed-helms.html","“The Hangover Part III” is rated R (Under 17 requires accompanying parent or adult guardian) for strong language, brief nudity and violence."
"1520027177-9656","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/3360to4180url.html","http://www.nytimes.com/2013/09/06/movies/99-relives-the-zuccotti-park-protest.html","http://www.nytimes.com/2013/09/06/movies/99-relives-the-zuccotti-park-protest.html","Titles at the start of “99%” cite the almost 100 filmmakers who contributed to this informative, inspiring documentary. Such pluralism is a metaphor for its subject, as the variety of physical perspectives lends a vivid you-are-there aspect to this record of the Zuccotti Park protest in New York in 2011, which spawned similar demonstrations in Philadelphia; Los Angeles; Seattle; Oakland, Calif.; and around the world."
"1520026044-6645","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/3360to4180url.html","http://www.nytimes.com/2013/02/01/movies/warm-bodies-written-and-directed-by-jonathan-levine.html","http://www.nytimes.com/2013/02/01/movies/warm-bodies-written-and-directed-by-jonathan-levine.html","The zombie romance “Warm Bodies” is cute and amusing enough to catch on cable one day, where its star-crossed, blood-drenched lovers will eventually present sweet relief from the apocalyptic freakout that is the AMC series “The Walking Dead.” If “The Walking Dead” is “Lost” with zombies and a high kill rate, “Warm Bodies” is effectively a riff on every teenage romance ever told, from Ovid’s Pyramus and Thisbe on. Boy or, in this case, zombie meets girl. Zombie loses girl. Zombie — well, you know the rest, though here the familiar balance comes with human tartare, screams and the unsettling image of John Malkovich as the leader of the seemingly last people on Earth."
"1520026366-7354","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/3360to4180url.html","http://www.nytimes.com/2013/03/29/movies/the-place-beyond-the-pines-directed-by-derek-cianfrance.html","http://www.nytimes.com/2013/03/29/movies/the-place-beyond-the-pines-directed-by-derek-cianfrance.html","The failures of this film are the product of its aspirations, which makes it easy to forgive, even though the disappointment is hard to shake. The movie is a little like both its anguished protagonists, going wrong in the name of vanity and love."
"1520027481-10382","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/3360to4180url.html","http://www.nytimes.com/2013/10/18/movies/taiwan-oyster-a-search-for-a-resting-place.html","http://www.nytimes.com/2013/10/18/movies/taiwan-oyster-a-search-for-a-resting-place.html","Simon and Darin, two kindergarten teachers, take it upon themselves to steal the corpse of this man they barely knew and bury it in the countryside. That leads to some standard road-trip misadventures — a cute woman joins them; ill-tempered gangsters appear — and to a sweet sadness as Simon uses the journey to reassess his lonely life."
"1520025737-5698","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/3360to4180url.html","http://www.nytimes.com/2012/11/14/movies/the-law-in-these-parts-raanan-alexandrowiczs-documentary.html","http://www.nytimes.com/2012/11/14/movies/the-law-in-these-parts-raanan-alexandrowiczs-documentary.html","We also hear how the law can be disturbingly malleable. If a law seems counter to international standards, those standards can be conveniently reinterpreted. (The most startling example has to do with establishing settlements on occupied land.)"
"1520026635-8070","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/3360to4180url.html","http://www.nytimes.com/2013/05/17/movies/augustine-by-alice-winocour-featuring-soko.html","http://www.nytimes.com/2013/05/17/movies/augustine-by-alice-winocour-featuring-soko.html","Neither, as it turns out, though it is essentially a dark romance of sex and power. Augustine becomes a special case for Charcot, which means that she participates in his public demonstrations of therapeutic technique. These are vital for Charcot’s legitimacy, and his financing, but they are also theatrical spectacles involving the hypnosis of a naked woman for an audience of men. There is lusty applause afterward, and reviews run in the newspaper."
"1520026076-6757","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/3360to4180url.html","http://www.nytimes.com/2013/02/14/movies/richard-lagraveneses-beautiful-creatures.html","http://www.nytimes.com/2013/02/14/movies/richard-lagraveneses-beautiful-creatures.html","“Beautiful Creatures” slowly ignites with the mind-and-body sparks set off when Ethan meets Lena — offspring from seemingly incompatible families, which means it’s kind of like Romeo and Juliet, but, like, you know, happier. Ethan finds himself immediately drawn to Lena when she slinks into school with downcast eyes, a moody mouth and tangle of long, dark hair, which is understandable considering the zombie-Barbies at school, with their mean girl talk and marmalade tans. These are girls, as Barbara Bush would say, who rhyme with witch. Lena, on the other hand, is an actual weird sister, though she’s understandably reluctant to share this news. It’s complicated, after all, what with a curse, some lore and spooky relations, among them Uncle Macon (Jeremy Irons)."
"1520026818-8630","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/3360to4180url.html","http://www.nytimes.com/2013/06/28/movies/the-heat-is-a-buddy-movie-without-any-guys.html","http://www.nytimes.com/2013/06/28/movies/the-heat-is-a-buddy-movie-without-any-guys.html","There is also a parade of sitcom players, some gunshots and explosions and an emergency tracheotomy that seems to want to match the diarrhea scene in “Bridesmaids” for gross hilarity. (Surgery, oddly enough, is not as funny as scatology.) A fairly standard summertime R-rated comedy, in other words, which I guess could be described as a kind of progress."
"1520025858-6082","http://sis-teach-01.sis.pitt.edu/spring2018/jid17/3360to4180url.html","http://www.nytimes.com/2012/12/07/movies/the-sheik-and-i-directed-by-caveh-zahedi.html","http://www.nytimes.com/2012/12/07/movies/the-sheik-and-i-directed-by-caveh-zahedi.html","But these innocent collaborators, as warily constrained by law and custom as their director is determined not to be, add human heft to Mr. Zahedi’s cinematic mission. As he gleefully constructs a Bollywood musical number around the Muslim prayer ritual and choreographs a chorus line of burqa-clad kidnappers, his amateur actors constantly remind us that free speech is not an abstraction. Whether mocking the Muslim world or indicting Western attitudes toward that world — perhaps a little of both — “The Sheik and I” argues vociferously that it’s always better to offend than to bore."
